datetime,status,filename,exception_message,truck_id,waste_collection_date,inv_characters_are_present,records_amt,duplicates_count,match_API_URL,additional_match_params,radius_of_match,n_processes_match,n_points_match,n_points_match_perc,matching_time_in_sec,csv_file
2020-12-04 18:12:51.755,succesfull,XE-5640J_2020-10-2.gpx,,XE 5640J,2020-10-02,True,8334.0,0.0,http://localhost:8989/match/v1/car/,?steps=false&tidy=true&annotations=true&overview=full,35.0,1.0,8324.0,0.9988000959923207,5.704024314880371,XE-5640J_2020-10-2.csv
2020-12-04 18:13:15.947,succesfull,XE-5638S_2020-10-30.gpx,,XE 5638S,2020-10-30,True,7844.0,0.0,http://localhost:8989/match/v1/car/,?steps=false&tidy=true&annotations=true&overview=full,35.0,1.0,7838.0,0.9992350841407445,7.634721755981445,XE-5638S_2020-10-30.csv
2020-12-04 18:14:50.295,succesfull,XE-5639P_2020-10-28.gpx,,XE 5639P,2020-10-28,True,5871.0,0.0,http://localhost:8989/match/v1/car/,?steps=false&tidy=true&annotations=true&overview=full,35.0,1.0,5864.0,0.9988076988587975,12.088912725448608,XE-5639P_2020-10-28.csv
2020-12-04 18:15:05.843,succesfull,XE-5620S_2020-10-21.gpx,,XE 5620S,2020-10-21,True,5568.0,0.0,http://localhost:8989/match/v1/car/,?steps=false&tidy=true&annotations=true&overview=full,35.0,1.0,5564.0,0.9992816091954023,10.073731184005737,XE-5620S_2020-10-21.csv
2020-12-04 18:15:17.039,succesfull,XE-5628X_2020-10-9.gpx,,XE 5628X,2020-10-09,True,6389.0,0.0,http://localhost:8989/match/v1/car/,?steps=false&tidy=true&annotations=true&overview=full,35.0,1.0,6383.0,0.9990608858976365,10.758167028427124,XE-5628X_2020-10-9.csv
2020-12-04 18:15:28.347,succesfull,XE-5565T_2020-10-19.gpx,,XE 5565T,2020-10-19,True,5266.0,0.0,http://localhost:8989/match/v1/car/,?steps=false&tidy=true&annotations=true&overview=full,35.0,1.0,5262.0,0.9992404101785036,6.3747923374176025,XE-5565T_2020-10-19.csv
2020-12-04 18:15:51.011,succesfull,XE-5680T_2020-10-25.gpx,,XE 5680T,2020-10-25,True,5598.0,0.0,http://localhost:8989/match/v1/car/,?steps=false&tidy=true&annotations=true&overview=full,35.0,1.0,5594.0,0.9992854590925331,11.66481065750122,XE-5680T_2020-10-25.csv
2020-12-04 18:16:14.480,succesfull,XE-5609B_2020-10-19.gpx,,XE 5609B,2020-10-19,True,3560.0,0.0,http://localhost:8989/match/v1/car/,?steps=false&tidy=true&annotations=true&overview=full,35.0,1.0,3560.0,1.0,9.010850667953491,XE-5609B_2020-10-19.csv
2020-12-04 18:16:33.529,succesfull,XE-5632H_2020-10-13.gpx,,XE 5632H,2020-10-13,True,1380.0,0.0,http://localhost:8989/match/v1/car/,?steps=false&tidy=true&annotations=true&overview=full,35.0,1.0,1380.0,1.0,0.9676687717437744,XE-5632H_2020-10-13.csv
2020-12-04 18:16:36.371,succesfull,XE-5577J_2020-10-13.gpx,,XE 5577J,2020-10-13,True,7639.0,0.0,http://localhost:8989/match/v1/car/,?steps=false&tidy=true&annotations=true&overview=full,35.0,1.0,7635.0,0.9994763712527818,7.972774267196655,XE-5577J_2020-10-13.csv
2020-12-04 18:17:30.345,succesfull,XE-5640J_2020-10-23.gpx,,XE 5640J,2020-10-23,True,8244.0,0.0,http://localhost:8989/match/v1/car/,?steps=false&tidy=true&annotations=true&overview=full,35.0,1.0,8241.0,0.9996360989810772,5.443161725997925,XE-5640J_2020-10-23.csv
2020-12-04 18:17:49.734,succesfull,XE-5639P_2020-10-11.gpx,,XE 5639P,2020-10-11,True,6168.0,0.0,http://localhost:8989/match/v1/car/,?steps=false&tidy=true&annotations=true&overview=full,35.0,1.0,6165.0,0.9995136186770428,6.136031866073608,XE-5639P_2020-10-11.csv
2020-12-04 18:17:53.400,succesfull,XE-5636Y_2020-10-28.gpx,,XE 5636Y,2020-10-28,True,6128.0,0.0,http://localhost:8989/match/v1/car/,?steps=false&tidy=true&annotations=true&overview=full,35.0,1.0,6125.0,0.9995104438642297,11.004920959472656,XE-5636Y_2020-10-28.csv
2020-12-04 18:18:03.667,succesfull,XE-5629T_2020-10-1.gpx,,XE 5629T,2020-10-01,True,6748.0,0.0,http://localhost:8989/match/v1/car/,?steps=false&tidy=true&annotations=true&overview=full,35.0,1.0,6742.0,0.9991108476585655,9.349729299545288,XE-5629T_2020-10-1.csv
2020-12-04 18:18:44.558,succesfull,XE-5748T_2020-10-26.gpx,,XE 5748T,2020-10-26,True,6836.0,0.0,http://localhost:8989/match/v1/car/,?steps=false&tidy=true&annotations=true&overview=full,35.0,1.0,6832.0,0.9994148624926857,10.163066625595093,XE-5748T_2020-10-26.csv
2020-12-04 18:18:58.930,succesfull,XE-5639P_2020-10-17.gpx,,XE 5639P,2020-10-17,True,496.0,0.0,http://localhost:8989/match/v1/car/,?steps=false&tidy=true&annotations=true&overview=full,35.0,1.0,495.0,0.9979838709677419,0.5738461017608643,XE-5639P_2020-10-17.csv
2020-12-04 18:19:11.155,succesfull,XE-5665M_2020-10-9.gpx,,XE 5665M,2020-10-09,True,1165.0,0.0,http://localhost:8989/match/v1/car/,?steps=false&tidy=true&annotations=true&overview=full,35.0,1.0,1163.0,0.9982832618025751,1.2529957294464111,XE-5665M_2020-10-9.csv
2020-12-04 18:19:27.750,succesfull,XE-5577J_2020-10-20.gpx,,XE 5577J,2020-10-20,True,7133.0,0.0,http://localhost:8989/match/v1/car/,?steps=false&tidy=true&annotations=true&overview=full,35.0,1.0,7122.0,0.9984578718631711,7.720485210418701,XE-5577J_2020-10-20.csv
2020-12-04 18:20:56.245,succesfull,XE-5630M_2020-10-17.gpx,,XE 5630M,2020-10-17,True,15.0,0.0,http://localhost:8989/match/v1/car/,?steps=false&tidy=true&annotations=true&overview=full,35.0,1.0,15.0,1.0,0.10231232643127441,XE-5630M_2020-10-17.csv
2020-12-04 18:21:08.956,succesfull,XE-5577J_2020-10-15.gpx,,XE 5577J,2020-10-15,True,7644.0,0.0,http://localhost:8989/match/v1/car/,?steps=false&tidy=true&annotations=true&overview=full,35.0,1.0,7638.0,0.9992150706436421,8.240623712539673,XE-5577J_2020-10-15.csv
2020-12-04 18:21:30.428,succesfull,XE-5680T_2020-10-3.gpx,,XE 5680T,2020-10-03,True,6332.0,0.0,http://localhost:8989/match/v1/car/,?steps=false&tidy=true&annotations=true&overview=full,35.0,1.0,6327.0,0.9992103600758054,13.303674936294556,XE-5680T_2020-10-3.csv
2020-12-04 18:21:40.294,succesfull,XE-5559L_2020-10-27.gpx,,XE 5559L,2020-10-27,True,1021.0,0.0,http://localhost:8989/match/v1/car/,?steps=false&tidy=true&annotations=true&overview=full,35.0,1.0,1021.0,1.0,0.3066532611846924,XE-5559L_2020-10-27.csv
2020-12-04 18:22:12.656,succesfull,XE-5639P_2020-10-20.gpx,,XE 5639P,2020-10-20,True,7024.0,0.0,http://localhost:8989/match/v1/car/,?steps=false&tidy=true&annotations=true&overview=full,35.0,1.0,7022.0,0.9997152619589977,7.59650731086731,XE-5639P_2020-10-20.csv
2020-12-04 18:22:17.736,succesfull,XE-5565T_2020-10-5.gpx,,XE 5565T,2020-10-05,True,5490.0,0.0,http://localhost:8989/match/v1/car/,?steps=false&tidy=true&annotations=true&overview=full,35.0,1.0,5488.0,0.9996357012750455,8.163635015487671,XE-5565T_2020-10-5.csv
2020-12-04 18:22:21.860,succesfull,XE-5705G_2020-10-13.gpx,,XE 5705G,2020-10-13,True,7132.0,0.0,http://localhost:8989/match/v1/car/,?steps=false&tidy=true&annotations=true&overview=full,35.0,1.0,7128.0,0.9994391475042064,6.7033655643463135,XE-5705G_2020-10-13.csv
2020-12-04 18:22:51.093,succesfull,XE-5748T_2020-10-21.gpx,,XE 5748T,2020-10-21,True,4729.0,0.0,http://localhost:8989/match/v1/car/,?steps=false&tidy=true&annotations=true&overview=full,35.0,1.0,4726.0,0.9993656164093889,10.746775388717651,XE-5748T_2020-10-21.csv
2020-12-04 18:23:24.778,succesfull,XE-5636Y_2020-10-11.gpx,,XE 5636Y,2020-10-11,True,6174.0,0.0,http://localhost:8989/match/v1/car/,?steps=false&tidy=true&annotations=true&overview=full,35.0,1.0,6172.0,0.9996760609005507,11.966179847717285,XE-5636Y_2020-10-11.csv
2020-12-04 18:23:28.219,succesfull,XE-5636Y_2020-10-26.gpx,,XE 5636Y,2020-10-26,True,8008.0,0.0,http://localhost:8989/match/v1/car/,?steps=false&tidy=true&annotations=true&overview=full,35.0,1.0,8002.0,0.9992507492507493,18.331634521484375,XE-5636Y_2020-10-26.csv
2020-12-04 18:23:42.305,succesfull,XE-5636Y_2020-10-10.gpx,,XE 5636Y,2020-10-10,True,6684.0,0.0,http://localhost:8989/match/v1/car/,?steps=false&tidy=true&annotations=true&overview=full,35.0,1.0,6682.0,0.9997007779772591,13.130619049072266,XE-5636Y_2020-10-10.csv
2020-12-04 18:23:52.198,succesfull,XE-5636Y_2020-10-19.gpx,,XE 5636Y,2020-10-19,True,7424.0,0.0,http://localhost:8989/match/v1/car/,?steps=false&tidy=true&annotations=true&overview=full,35.0,1.0,7418.0,0.9991918103448276,13.91125226020813,XE-5636Y_2020-10-19.csv
2020-12-04 18:23:54.857,succesfull,XE-5612R_2020-10-14.gpx,,XE 5612R,2020-10-14,True,5752.0,0.0,http://localhost:8989/match/v1/car/,?steps=false&tidy=true&annotations=true&overview=full,35.0,1.0,5744.0,0.9986091794158554,8.242525339126587,XE-5612R_2020-10-14.csv
2020-12-04 18:24:21.707,succesfull,XE-5705G_2020-10-23.gpx,,XE 5705G,2020-10-23,True,6144.0,0.0,http://localhost:8989/match/v1/car/,?steps=false&tidy=true&annotations=true&overview=full,35.0,1.0,6141.0,0.99951171875,6.807119369506836,XE-5705G_2020-10-23.csv
2020-12-04 18:24:26.180,succesfull,XE-5638S_2020-10-11.gpx,,XE 5638S,2020-10-11,True,8395.0,0.0,http://localhost:8989/match/v1/car/,?steps=false&tidy=true&annotations=true&overview=full,35.0,1.0,8386.0,0.9989279332936272,7.851564884185791,XE-5638S_2020-10-11.csv
2020-12-04 18:25:22.506,succesfull,XE-5680T_2020-10-17.gpx,,XE 5680T,2020-10-17,True,5943.0,15.0,http://localhost:8989/match/v1/car/,?steps=false&tidy=true&annotations=true&overview=full,35.0,1.0,5921.0,0.9988191632928475,11.500458240509033,XE-5680T_2020-10-17.csv
2020-12-04 18:25:31.358,succesfull,XE-5665M_2020-10-13.gpx,,XE 5665M,2020-10-13,True,4749.0,0.0,http://localhost:8989/match/v1/car/,?steps=false&tidy=true&annotations=true&overview=full,35.0,1.0,4747.0,0.9995788587070963,4.665816068649292,XE-5665M_2020-10-13.csv
2020-12-04 18:26:09.291,succesfull,XE-5636Y_2020-10-12.gpx,,XE 5636Y,2020-10-12,True,7535.0,0.0,http://localhost:8989/match/v1/car/,?steps=false&tidy=true&annotations=true&overview=full,35.0,1.0,7533.0,0.9997345719973457,32.45575761795044,XE-5636Y_2020-10-12.csv
2020-12-04 18:26:22.144,succesfull,XE-5620S_2020-10-18.gpx,,XE 5620S,2020-10-18,True,5736.0,0.0,http://localhost:8989/match/v1/car/,?steps=false&tidy=true&annotations=true&overview=full,35.0,1.0,5732.0,0.999302649930265,10.137714147567749,XE-5620S_2020-10-18.csv
2020-12-04 18:26:26.978,succesfull,XE-5636Y_2020-10-21.gpx,,XE 5636Y,2020-10-21,True,6536.0,0.0,http://localhost:8989/match/v1/car/,?steps=false&tidy=true&annotations=true&overview=full,35.0,1.0,6529.0,0.9989290085679314,13.345350503921509,XE-5636Y_2020-10-21.csv
2020-12-04 18:28:11.071,succesfull,XE-5632H_2020-10-7.gpx,,XE 5632H,2020-10-07,True,6872.0,82.0,http://localhost:8989/match/v1/car/,?steps=false&tidy=true&annotations=true&overview=full,35.0,1.0,6783.0,0.9989690721649485,7.424453496932983,XE-5632H_2020-10-7.csv
2020-12-04 18:28:12.689,succesfull,XE-5610X_2020-10-9.gpx,,XE 5610X,2020-10-09,True,8059.0,196.0,http://localhost:8989/match/v1/car/,?steps=false&tidy=true&annotations=true&overview=full,35.0,1.0,7852.0,0.9986010428589597,5.729762077331543,XE-5610X_2020-10-9.csv
2020-12-04 18:28:13.912,succesfull,XE-5612R_2020-10-31.gpx,,XE 5612R,2020-10-31,True,5758.0,0.0,http://localhost:8989/match/v1/car/,?steps=false&tidy=true&annotations=true&overview=full,35.0,1.0,5755.0,0.9994789857589441,8.883413076400757,XE-5612R_2020-10-31.csv
2020-12-04 18:29:15.820,succesfull,XE-5680T_2020-10-22.gpx,,XE 5680T,2020-10-22,True,6675.0,0.0,http://localhost:8989/match/v1/car/,?steps=false&tidy=true&annotations=true&overview=full,35.0,1.0,6670.0,0.9992509363295881,19.70363998413086,XE-5680T_2020-10-22.csv
2020-12-04 18:29:46.887,succesfull,XE-5630M_2020-10-22.gpx,,XE 5630M,2020-10-22,True,6249.0,0.0,http://localhost:8989/match/v1/car/,?steps=false&tidy=true&annotations=true&overview=full,35.0,1.0,6246.0,0.99951992318771,11.27984619140625,XE-5630M_2020-10-22.csv
2020-12-04 18:30:06.239,succesfull,XE-5598Z_2020-10-17.gpx,,XE 5598Z,2020-10-17,True,6162.0,0.0,http://localhost:8989/match/v1/car/,?steps=false&tidy=true&annotations=true&overview=full,35.0,1.0,6159.0,0.9995131450827653,13.2582688331604,XE-5598Z_2020-10-17.csv
2020-12-04 18:30:37.854,succesfull,XE-5632H_2020-10-14.gpx,,XE 5632H,2020-10-14,True,7086.0,0.0,http://localhost:8989/match/v1/car/,?steps=false&tidy=true&annotations=true&overview=full,35.0,1.0,7083.0,0.9995766299745978,6.757778167724609,XE-5632H_2020-10-14.csv
2020-12-04 18:30:40.119,succesfull,XE-5565T_2020-10-2.gpx,,XE 5565T,2020-10-02,True,5029.0,0.0,http://localhost:8989/match/v1/car/,?steps=false&tidy=true&annotations=true&overview=full,35.0,1.0,5025.0,0.9992046132431895,10.710344552993774,XE-5565T_2020-10-2.csv
2020-12-04 18:31:29.989,succesfull,XE-5680T_2020-10-1.gpx,,XE 5680T,2020-10-01,True,6047.0,0.0,http://localhost:8989/match/v1/car/,?steps=false&tidy=true&annotations=true&overview=full,35.0,1.0,6042.0,0.9991731437076237,12.30578875541687,XE-5680T_2020-10-1.csv
2020-12-04 18:31:46.650,succesfull,XE-5577J_2020-10-7.gpx,,XE 5577J,2020-10-07,True,7216.0,0.0,http://localhost:8989/match/v1/car/,?steps=false&tidy=true&annotations=true&overview=full,35.0,1.0,7207.0,0.9987527716186253,7.428363561630249,XE-5577J_2020-10-7.csv
