route,vehicle_id,route_type,collection_material,date
JS-HL 1,XE-5602U,JS-HL,waste,2020-10-01
JS-HL 2,XE-5701S,JS-HL,waste,2020-10-01
JS-HL 3,XE-5645X,JS-HL,waste,2020-10-01
JS-HL 4,XE-5672S,JS-HL,waste,2020-10-01
JS-REL 1,XE-5628X,JS-REL,waste,2020-10-01
JS-REL 10,XE-5640J,JS-REL,waste,2020-10-01
JS-REL 2,XE-5612R,JS-REL,waste,2020-10-01
JS-REL 3,XE-5632H,JS-REL,waste,2020-10-01
JS-REL 4,XE-5636Y,JS-REL,waste,2020-10-01
JS-REL 5,XE-5680T,JS-REL,waste,2020-10-01
JS-REL 6,XE-5630M,JS-REL,waste,2020-10-01
JS-REL 7,XE-5598Z,JS-REL,waste,2020-10-01
JS-REL 8,XE-5620S,JS-REL,waste,2020-10-01
JS-REL 9,XE-5639P,JS-REL,waste,2020-10-01
Mechanic / Spare Vehicle XE-5559L,XE-5559L,JS-REL,waste,2020-10-01
Mechanic / Spare Vehicle XE-5610X,XE-5610X,JS-REL,waste,2020-10-01
Mechanic / Spare Vehicle XE-5705G,XE-5705G,JS-REL,waste,2020-10-01
JS CRD 1,XE-5609B,JS-Recycle,recycle,2020-10-01
JS CRD 2,XE-5565T,JS-Recycle,recycle,2020-10-01
JS-RFID,XE-5665M,JS-Recycle,recycle,2020-10-01
JS-SE 1,XE-5638S,JS-SE,waste,2020-10-01
JS-SE 2,XE-5577J,JS-SE,waste,2020-10-01
JS-SE 3,XE-5629T,JS-SE,waste,2020-10-01
Side Loader,XE-5748H,Side Loader,recycle,2020-10-01
Mechanic / Spare Vehicle GBK-3174E,GBK-3174E,,,2020-10-01
RVM Collection,YQ-2237K,,,2020-10-01
JS-HL 1,XE-5602U,JS-HL,waste,2020-10-02
JS-HL 2,XE-5701S,JS-HL,waste,2020-10-02
JS-HL 3,XD-1577R,JS-HL,waste,2020-10-02
JS-HL 4,XE-5672S,JS-HL,waste,2020-10-02
JS-REL 1,XE-5628X,JS-REL,waste,2020-10-02
JS-REL 10,XE-5640J,JS-REL,waste,2020-10-02
JS-REL 2,XE-5612R,JS-REL,waste,2020-10-02
JS-REL 3,XE-5632H,JS-REL,waste,2020-10-02
JS-REL 4,XE-5636Y,JS-REL,waste,2020-10-02
JS-REL 5,XE-5680T,JS-REL,waste,2020-10-02
JS-REL 6,XE-5630M,JS-REL,waste,2020-10-02
JS-REL 7,XE-5598Z,JS-REL,waste,2020-10-02
JS-REL 8,XE-5620S,JS-REL,waste,2020-10-02
JS-REL 9,XE-5639P,JS-REL,waste,2020-10-02
Mechanic / Spare Vehicle XE-5559L,XE-5559L,JS-REL,waste,2020-10-02
Mechanic / Spare Vehicle XE-5610X,XE-5610X,JS-REL,waste,2020-10-02
Mechanic / Spare Vehicle XE-5705G,XE-5705G,JS-REL,waste,2020-10-02
JS CRD 1,XE-5609B,JS-Recycle,recycle,2020-10-02
JS CRD 2,XE-5565T,JS-Recycle,recycle,2020-10-02
JS-RFID,XE-5665M,JS-Recycle,recycle,2020-10-02
JS-SE 1,XE-5638S,JS-SE,waste,2020-10-02
JS-SE 2,XE-5577J,JS-SE,waste,2020-10-02
JS-SE 3,XE-5629T,JS-SE,waste,2020-10-02
Side Loader,XE-5748H,Side Loader,recycle,2020-10-02
Mechanic / Spare Vehicle GBK-3174E,GBK-3174E,,,2020-10-02
Salesforce Case,YQ-2237K,,,2020-10-02
JS-HL 1,XE-5602U,JS-HL,waste,2020-10-03
JS-HL 2,XD-1577R,JS-HL,waste,2020-10-03
JS-HL 3,XE-5701S,JS-HL,waste,2020-10-03
JS-HL 4,XE-5672S,JS-HL,waste,2020-10-03
JS-REL 1,XE-5628X,JS-REL,waste,2020-10-03
JS-REL 10,XE-5640J,JS-REL,waste,2020-10-03
JS-REL 2,XE-5612R,JS-REL,waste,2020-10-03
JS-REL 3,XE-5632H,JS-REL,waste,2020-10-03
JS-REL 4,XE-5636Y,JS-REL,waste,2020-10-03
JS-REL 5,XE-5680T,JS-REL,waste,2020-10-03
JS-REL 6,XE-5630M,JS-REL,waste,2020-10-03
JS-REL 7,XE-5598Z,JS-REL,waste,2020-10-03
JS-REL 8,XE-5620S,JS-REL,waste,2020-10-03
JS-REL 9,XE-5639P,JS-REL,waste,2020-10-03
Mechanic / Spare Vehicle XE-5559L,XE-5559L,JS-REL,waste,2020-10-03
Mechanic / Spare Vehicle XE-5610X,XE-5610X,JS-REL,waste,2020-10-03
Mechanic / Spare Vehicle XE-5705G,XE-5705G,JS-REL,waste,2020-10-03
JS CRD 1,XE-5609B,JS-Recycle,recycle,2020-10-03
JS CRD 2,XE-5565T,JS-Recycle,recycle,2020-10-03
JS-RFID,XE-5665M,JS-Recycle,recycle,2020-10-03
JS-SE 1,XE-5638S,JS-SE,waste,2020-10-03
