truck_id,lon,lat,time,unixtime,index,alternatives_count,waypoint_index,matchings_index,name,distance,hint,lon_match,lat_match,matching_confidence,distance_traveled,duration,osm_nodes,osm_speeds,osm_durations,osm_distances,n_osm_points,speed,outlier
XE 5598Z,103.6481525,1.33011383,2020-10-30 06:16:53,1604038613,0,0.0,0.0,0.0,,11.138396,eS8CAH4vAoAzAAAAwAAAAAAAAAAAAAAAIVGrQTsTn0IAAAAAAAAAADMAAADAAAAAAAAAAAAAAACDCwAA4IstBglMFACZiy0GwksUAAAArxO8byAW,103.648224,1.330185,,,,,,,,,,False
XE 5598Z,103.6481561,1.33012367,2020-10-30 06:16:58,1604038618,1,,,0.0,,,,103.648224,1.330185,,,,,,,,,,True
XE 5598Z,103.6481985,1.33015333,2020-10-30 06:17:04,1604038624,2,,,0.0,,,,103.648224,1.330185,,,,,,,,,,True
XE 5598Z,103.6483056,1.33022867,2020-10-30 06:17:09,1604038629,3,0.0,1.0,0.0,,9.883366,eS8CAH4vAoAsAAAAxwAAAAAAAAAAAAAAtXiTQVkJpUIAAAAAAAAAACwAAADHAAAAAAAAAAAAAACDCwAA84stBvZLFAAyjC0GNUwUAAAArxO8byAW,103.648243,1.330166,0.96506,3.0,0.7,"[5270389054, 5270389048]",[4.3],[0.7],[2.988254],2.0,4.285714285714286,False
XE 5598Z,103.648388,1.33028667,2020-10-30 06:17:14,1604038634,4,,,0.0,,,,103.648243,1.330166,,,,,,,,,,True
XE 5598Z,103.6484363,1.33031133,2020-10-30 06:17:19,1604038639,5,0.0,2.0,0.0,,26.433686,eS8CAH4vAoAjAAAA0AAAAAAAAAAAAAAAiW9pQYS5rEIAAAAAAAAAACMAAADQAAAAAAAAAAAAAACDCwAADIwtBt5LFAC0jC0Gh0wUAAAArxO8byAW,103.648268,1.330142,0.96506,3.9,0.9,"[5270389054, 5270389048]",[4.3],[0.9],[3.854057],2.0,4.333333333333333,False
XE 5598Z,103.648466,1.33033317,2020-10-30 06:17:25,1604038645,6,,,0.0,,,,103.648268,1.330142,,,,,,,,,,True
XE 5598Z,103.6484706,1.3303305,2020-10-30 06:17:31,1604038651,7,,,0.0,,,,103.648268,1.330142,,,,,,,,,,True
XE 5598Z,103.64847,1.33029917,2020-10-30 06:17:36,1604038656,8,,,0.0,,,,103.648268,1.330142,,,,,,,,,,True
XE 5598Z,103.6485515,1.33033183,2020-10-30 06:17:41,1604038661,9,0.0,3.0,0.0,,37.18028,eS8CgH4vAoARAAAA4gAAAAAAAAAAAAAA9uzmQKZ4u0IAAAAAAAAAABEAAADiAAAAAAAAAAAAAACDCwAAO4wtBq9LFAAojS0GnEwUAAAArxO8byAW,103.648315,1.330095,0.96506,7.4,1.8,"[5270389054, 5270389048]",[4.1],[1.8],[7.391998],2.0,4.111111111111112,False
XE 5598Z,103.6485575,1.33031983,2020-10-30 06:17:47,1604038667,10,,,0.0,,,,103.648315,1.330095,,,,,,,,,,True
XE 5598Z,103.6484675,1.33027817,2020-10-30 06:17:52,1604038672,11,,,0.0,,,,103.648315,1.330095,,,,,,,,,,True
