date,time,vehicle_id,Route,RFID,Serial,Street,Number,Affix,Unit,Zip,City,Latitude,Longitude,Exception,weight,weightLoad,datetime,unixtime
2020-10-07,00:08:56,XE-5598Z,,E2000019951000410830C933,,ENG KONG ROAD,62,,,599056.0,Singapur,1.33617733,103.7679943,,,19300.0,2020-10-07 00:08:56,1602029336.0
2020-10-07,00:09:28,XE-5598Z,,E2000019951001610800CC0F,,ENG KONG ROAD,64,,EARLY ,599057.0,Singapure,1.33588083,103.76803000000001,,,19290.0,2020-10-07 00:09:28,1602029368.0
2020-10-07,00:09:55,XE-5598Z,,E2000019951000870820CB7A,,ENG KONG ROAD,70,,,599058.0,Singapur,1.33558167,103.768095,,,19300.0,2020-10-07 00:09:55,1602029395.0
2020-10-07,00:10:17,XE-5598Z,,E200001C260F02690990EEC2,,ENG KONG ROAD,74,,,599060.0,Singapur,1.33535867,103.7681283,,,19320.0,2020-10-07 00:10:17,1602029417.0
2020-10-07,00:11:06,XE-5598Z,,E2000019951002240780D061,,ENG KONG ROAD,86,,,599065.0,Singapur,1.3346285,103.76822059999999,,,19480.0,2020-10-07 00:11:06,1602029466.0
2020-10-07,00:12:16,XE-5598Z,,E200001C260F013106506A61,,ENG KONG ROAD,110,,,599077.0,Singapur,1.33395583,103.7683026,,,19370.0,2020-10-07 00:12:16,1602029536.0
2020-10-07,00:12:56,XE-5598Z,,E2000019950101581080AFA0,,ENG KONG GARDEN,175,,,599273.0,Singapur,1.333649,103.768168,,,19310.0,2020-10-07 00:12:56,1602029576.0
2020-10-07,00:13:41,XE-5598Z,,E200001C260502472180DF97,,ENG KONG PLACE,41,,,599113.0,Singapur,1.3335315,103.76785699999999,,,19390.0,2020-10-07 00:13:41,1602029621.0
2020-10-07,00:21:19,XE-5598Z,,E2000019951000410810C937,,ENG KONG PLACE,44,,,599116.0,Singapur,1.33492617,103.7675338,,,19560.0,2020-10-07 00:21:19,1602030079.0
2020-10-07,00:26:01,XE-5598Z,,E2000019951001820640DAE8,,ENG KONG PLACE,75,,,599148.0,Singapur,1.33324933,103.7667678,,,19700.0,2020-10-07 00:26:01,1602030361.0
2020-10-07,00:28:02,XE-5598Z,,E200001C26110016148000B8,,GREENRIDGE CRESCENT,53,,,598941.0,Singapur,1.33359067,103.7662568,,,19670.0,2020-10-07 00:28:02,1602030482.0
2020-10-07,00:34:18,XE-5598Z,,E2000019951000330920BF4E,,GREENRIDGE CRESCENT,24,,,598912.0,Singapur,1.3355395,103.766183,,,19780.0,2020-10-07 00:34:18,1602030858.0
2020-10-07,00:43:02,XE-5598Z,,E2000019950C01111010B5A7,,TOH YI DR,20,,BUKIT TIMAH ,596569.0,Singapur,1.340701,103.771348,,,19900.0,2020-10-07 00:43:02,1602031382.0
2020-10-07,00:44:46,XE-5598Z,,E200001C2608011217604D34,,TOH TUCK ROAD,35,,,596713.0,Singapur,1.33990267,103.7689853,,,19880.0,2020-10-07 00:44:46,1602031486.0
2020-10-07,00:45:11,XE-5598Z,,E200001C260F008006902EC8,,TOH TUCK ROAD,21,,,596685.0,Singapur,1.33977867,103.7688228,,,19880.0,2020-10-07 00:45:11,1602031511.0
2020-10-07,00:48:07,XE-5598Z,,E2000019950C00781060B343,,TOH TUCK TERRACE,21,,,596649.0,Singapur,1.33856267,103.76875,,,19970.0,2020-10-07 00:48:07,1602031687.0
2020-10-07,00:51:49,XE-5598Z,,E200001C260F02741180F26D,,TOH TUCK ROAD,51A,,,596750.0,Singapur,1.33954733,103.76666850000001,,,20020.0,2020-10-07 00:51:49,1602031909.0
2020-10-07,00:51:57,XE-5598Z,,E200001C261100471480151B,,TOH TUCK ROAD,55,,,596293.0,Singapur,1.3396135,103.7666271,,,20070.0,2020-10-07 00:51:57,1602031917.0
2020-10-07,00:52:53,XE-5598Z,,E200001C261102451690DECE,,TOH TUCK ROAD,59,,,596297.0,Singapur,1.33980933,103.766127,,,20020.0,2020-10-07 00:52:53,1602031973.0
2020-10-07,00:53:08,XE-5598Z,,E2000019951001300900C402,,TOH TUCK ROAD,57,,,596295.0,Singapur,1.33980283,103.7660873,,,20050.0,2020-10-07 00:53:08,1602031988.0
